time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-26T01:33:46.193Z,45.5217104,-122.6431493,15.700000762939453,22.682,,,0,network,,,,,,,,32,
2020-08-26T01:34:25.000Z,45.52192943,-122.64301453,-8.0,18.224,,0.0,0,gps,,,,,,,,32,
2020-08-26T01:34:46.105Z,45.5221852,-122.6421434,19.100000381469727,18.059,,,0,network,,,,,,,,32,
2020-08-26T01:34:46.105Z,45.5221852,-122.6421434,19.100000381469727,18.059,,,0,network,,,,,,,,32,
2020-08-26T01:35:20.759Z,45.5221181,-122.6414038,17.0,18.592,,,0,network,,,,,,,,32,
2020-08-26T01:35:46.000Z,45.5221333,-122.64015366,30.0,8.576,144.9,2.33,0,gps,0.6,0.7,0.9,-18.0,,,,32,
2020-08-26T01:36:03.000Z,45.52215417,-122.63955954,29.0,15.008,80.1,2.65,0,gps,0.6,0.7,0.9,-18.0,,,,32,
2020-08-26T01:36:24.965Z,45.5217989,-122.6391908,21.100000381469727,10.673,,,0,network,,,,,,,,32,
2020-08-26T01:36:24.965Z,45.5217989,-122.6391908,21.100000381469727,10.673,,,0,network,,,,,,,,32,
2020-08-26T01:37:03.547Z,45.5214633,-122.6380708,21.899999618530273,21.39,,,0,network,,,,,,,,32,
2020-08-26T01:37:23.000Z,45.52144225,-122.63739901,15.0,9.648001,102.8,1.22,0,gps,2.8,1.0,3.0,-18.0,,,,32,
2020-08-26T01:37:33.350Z,45.5213292,-122.6373504,23.30000114440918,22.314,,,0,network,,,,,,,,31,
2020-08-26T01:38:03.000Z,45.52077415,-122.63683064,23.0,8.576,84.6,1.43,0,gps,0.6,0.7,0.9,-18.0,,,,31,
2020-08-26T01:38:02.320Z,45.5209765,-122.6369754,26.30000114440918,32.02,,,0,network,,,,,,,,31,
2020-08-26T01:38:36.000Z,45.52069127,-122.63570306,32.0,16.08,103.2,2.78,0,gps,0.7,0.8,1.1,-18.0,,,,31,
2020-08-26T01:39:03.000Z,45.52075882,-122.63470192,28.0,9.648001,111.8,3.42,0,gps,0.6,0.7,0.9,-18.0,,,,31,
2020-08-26T01:39:25.000Z,45.52073699,-122.63389607,27.0,13.936001,81.1,2.75,0,gps,0.7,0.7,1.0,-18.0,,,,31,
2020-08-26T01:39:28.307Z,45.5208125,-122.6339903,29.30000114440918,26.235,,,0,network,,,,,,,,31,
2020-08-26T01:40:02.335Z,45.5209117,-122.6327672,29.100000381469727,13.686,,,0,network,,,,,,,,31,
2020-08-26T01:40:02.335Z,45.5209117,-122.6327672,29.100000381469727,13.686,,,0,network,,,,,,,,31,
2020-08-26T01:40:34.137Z,45.520679,-122.6318127,23.399999618530273,11.865,,,0,network,,,,,,,,31,
2020-08-26T01:40:52.724Z,45.5206154,-122.6310622,24.399999618530273,38.542,,,0,network,,,,,,,,31,
2020-08-26T01:41:11.158Z,45.5210727,-122.6306797,26.5,21.207,,,0,network,,,,,,,,31,
2020-08-26T01:41:30.000Z,45.52157692,-122.63044079,37.0,12.864,28.2,2.98,0,gps,1.0,0.9,1.3,-18.0,,,,31,
2020-08-26T01:41:29.769Z,45.5217723,-122.6303097,31.30000114440918,37.238,,,0,network,,,,,,,,31,
2020-08-26T01:42:02.922Z,45.522163,-122.6305561,35.39999771118164,15.634,,,0,network,,,,,,,,31,
2020-08-26T01:42:23.676Z,45.5223457,-122.6315141,36.5,21.406,,,0,network,,,,,,,,31,
2020-08-26T01:42:23.675Z,45.5223457,-122.6315141,36.5,21.406,,,0,network,,,,,,,,31,
2020-08-26T01:43:01.817Z,45.5221394,-122.6325163,34.19999694824219,20.85,,,0,network,,,,,,,,31,
2020-08-26T01:43:01.818Z,45.5221394,-122.6325163,34.19999694824219,20.85,,,0,network,,,,,,,,31,
2020-08-26T01:43:36.522Z,45.5220709,-122.6339127,28.399999618530273,15.783,,,0,network,,,,,,,,31,
2020-08-26T01:44:03.675Z,45.5222685,-122.6350683,25.600000381469727,27.591,,,0,network,,,,,,,,31,
2020-08-26T01:44:03.675Z,45.5222685,-122.6350683,25.600000381469727,27.591,,,0,network,,,,,,,,31,
2020-08-26T01:44:39.000Z,45.52200978,-122.63618402,21.0,15.008,319.1,1.75,0,gps,0.9,0.8,1.2,-18.0,,,,31,
2020-08-26T01:44:58.297Z,45.5221111,-122.6370728,21.80000114440918,11.179,,,0,network,,,,,,,,31,
2020-08-26T01:45:23.034Z,45.5221712,-122.6378158,21.0,17.43,,,0,network,,,,,,,,31,
2020-08-26T01:45:23.033Z,45.5221712,-122.6378158,21.0,17.43,,,0,network,,,,,,,,31,
2020-08-26T01:46:01.235Z,45.5221529,-122.6393383,21.200000762939453,17.928,,,0,network,,,,,,,,31,
2020-08-26T01:46:22.780Z,45.5221049,-122.6400146,18.0,14.882,,,0,network,,,,,,,,31,
2020-08-26T01:46:43.419Z,45.5221208,-122.6409325,17.899999618530273,21.207,,,0,network,,,,,,,,31,
2020-08-26T01:46:43.420Z,45.5221208,-122.6409325,17.899999618530273,21.207,,,0,network,,,,,,,,31,
2020-08-26T01:47:18.203Z,45.522132,-122.6420244,19.700000762939453,15.179,,,0,network,,,,,,,,31,
2020-08-26T01:47:18.202Z,45.522132,-122.6420244,19.700000762939453,15.179,,,0,network,,,,,,,,31,
