time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-27T01:49:02.095Z,45.5363021,-122.7187987,59.69999694824219,16.15,,,0,network,,,,,,,,39,
2020-08-27T01:49:16.510Z,45.5363118,-122.7187882,59.69999694824219,15.712,,,0,network,,,,,,,,39,
2020-08-27T01:49:38.446Z,45.536319,-122.7187507,59.69999694824219,20.467,,,0,network,,,,,,,,39,
2020-08-27T01:49:38.447Z,45.536319,-122.7187507,59.69999694824219,20.467,,,0,network,,,,,,,,39,
2020-08-27T01:50:04.000Z,45.53635183,-122.71949387,75.0,13.936001,39.0,2.07,0,gps,,,,,,,,39,
2020-08-27T01:50:17.000Z,45.5365408,-122.719425,70.0,17.152,0.0,1.95,0,gps,1.0,0.8,1.3,-18.0,,,,39,
2020-08-27T01:50:30.000Z,45.53682936,-122.7197073,69.0,21.44,333.0,1.24,0,gps,1.0,0.8,1.2,-18.0,,,,39,
2020-08-27T01:50:44.000Z,45.53690551,-122.71978929,66.0,19.296001,310.4,2.34,0,gps,1.0,0.8,1.3,-18.0,,,,39,
2020-08-27T01:51:04.000Z,45.53710364,-122.72009452,68.0,27.872002,294.8,0.23,0,gps,1.0,0.8,1.2,-18.0,,,,39,
2020-08-27T01:51:18.000Z,45.5371301,-122.72048774,76.0,20.368,277.6,1.07,0,gps,0.9,0.7,1.2,-18.0,,,,39,
2020-08-27T01:51:29.932Z,45.5377685,-122.7202373,65.79999542236328,26.776,,,0,network,,,,,,,,39,
2020-08-27T01:51:29.932Z,45.5377685,-122.7202373,65.79999542236328,26.776,,,0,network,,,,,,,,39,
2020-08-27T01:51:55.000Z,45.53756548,-122.72103188,90.0,23.584,321.2,1.39,0,gps,1.3,0.8,1.5,-18.0,,,,39,
2020-08-27T01:52:08.000Z,45.53768966,-122.72137781,83.0,15.008,294.9,0.67,0,gps,0.9,0.8,1.2,-18.0,,,,39,
2020-08-27T01:52:21.000Z,45.5377683,-122.72125259,113.0,19.296001,63.4,1.13,0,gps,1.0,0.8,1.3,-18.0,,,,39,
2020-08-27T01:52:34.000Z,45.53727596,-122.72145868,96.0,20.368,205.8,2.83,0,gps,0.9,0.8,1.2,-18.0,,,,39,
2020-08-27T01:52:49.000Z,45.53725121,-122.72169833,88.0,39.664,187.7,0.27,0,gps,0.9,0.8,1.2,-18.0,,,,39,
2020-08-27T01:53:03.000Z,45.53707929,-122.7218245,87.0,23.584,276.7,1.15,0,gps,1.3,0.8,1.5,-18.0,,,,39,
2020-08-27T01:53:17.000Z,45.5371384,-122.72189806,111.0,22.512001,228.0,0.57,0,gps,1.0,0.8,1.3,-18.0,,,,39,
