time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-22T23:14:53.000Z,45.57463519,-122.78817414,320.0,8.576,99.9,0.76,0,gps,,,,,,,,39,
2020-08-22T23:15:26.000Z,45.57471581,-122.78733182,316.0,19.296001,64.3,1.84,0,gps,0.8,0.7,1.1,-18.0,,,,38,
2020-08-22T23:16:04.000Z,45.57560209,-122.78655222,308.0,17.152,20.4,2.68,0,gps,0.8,0.8,1.1,-18.0,,,,38,
2020-08-22T23:16:28.000Z,45.57589249,-122.78644572,303.0,17.152,,0.0,0,gps,0.8,0.8,1.1,-18.0,,,,38,
2020-08-22T23:17:05.000Z,45.57693883,-122.7863835,285.0,10.72,352.6,3.95,0,gps,0.8,0.8,1.1,-18.0,,,,38,
2020-08-22T23:17:28.000Z,45.57779457,-122.78618515,270.0,10.72,349.9,1.16,0,gps,0.8,0.8,1.1,-18.0,,,,38,
2020-08-22T23:18:05.155Z,45.57841186,-122.78544087,262.0,8.576,17.7,1.97,0,gps,0.7,0.7,1.0,-18.0,,,,38,
2020-08-22T23:18:30.000Z,45.57831254,-122.78531535,269.0,20.368,109.5,0.26,0,gps,1.1,1.4,1.8,-18.0,,,,38,
2020-08-22T23:19:05.000Z,45.57899358,-122.78512915,269.0,26.800001,27.3,1.88,0,gps,0.8,0.8,1.2,-18.0,,,,38,
2020-08-22T23:19:31.000Z,45.57977075,-122.78453745,232.0,17.152,28.6,1.71,0,gps,0.8,0.8,1.2,-18.0,,,,38,
2020-08-22T23:20:06.000Z,45.58027729,-122.7842787,242.0,15.008,47.2,2.45,0,gps,0.8,0.7,1.0,-18.0,,,,38,
2020-08-22T23:20:28.000Z,45.58042189,-122.78378013,254.0,12.864,68.1,1.4,0,gps,0.8,0.7,1.1,-18.0,,,,38,
2020-08-22T23:21:04.000Z,45.58111136,-122.78294628,258.0,18.224,24.3,2.81,0,gps,0.9,0.8,1.2,-18.0,,,,38,
2020-08-22T23:21:29.000Z,45.58058334,-122.78262969,251.0,10.72,161.6,2.38,0,gps,0.9,0.8,1.2,-18.0,,,,38,
2020-08-22T23:22:05.000Z,45.58041003,-122.78165724,241.0,20.368,3.0,1.03,0,gps,0.7,0.7,1.0,-18.0,,,,38,
2020-08-22T23:22:29.000Z,45.57992694,-122.78132104,238.0,31.088001,189.0,2.05,0,gps,0.7,0.7,1.0,-18.0,,,,38,
2020-08-22T23:23:05.000Z,45.57949996,-122.7824129,252.0,17.152,238.8,1.66,0,gps,0.8,0.8,1.2,-18.0,,,,38,
2020-08-22T23:23:28.000Z,45.57922811,-122.78296547,288.0,13.936001,254.8,2.07,0,gps,1.2,0.9,1.5,-18.0,,,,38,
2020-08-22T23:24:06.000Z,45.57886933,-122.7839423,290.0,20.368,,0.0,0,gps,0.9,0.8,1.3,-18.0,,,,38,
2020-08-22T23:24:30.000Z,45.57884939,-122.783981,289.0,16.08,231.6,1.25,0,gps,1.2,0.9,1.5,-18.0,,,,38,
2020-08-22T23:25:04.000Z,45.57766006,-122.78408831,257.0,15.008,185.1,2.78,0,gps,1.0,0.8,1.3,-18.0,,,,38,
2020-08-22T23:25:27.000Z,45.57732685,-122.78462172,287.0,21.44,239.5,2.46,0,gps,1.1,0.8,1.4,-18.0,,,,38,
2020-08-22T23:26:04.000Z,45.5773679,-122.7837812,256.0,20.368,38.6,1.48,0,gps,1.1,0.8,1.4,-18.0,,,,38,
2020-08-22T23:26:27.000Z,45.5774476,-122.78312082,239.0,16.08,146.3,1.4,0,gps,1.1,0.8,1.3,-18.0,,,,38,
2020-08-22T23:27:05.000Z,45.5768802,-122.78302675,275.0,18.224,260.4,0.84,0,gps,1.3,0.9,1.5,-18.0,,,,38,
2020-08-22T23:27:28.000Z,45.57670059,-122.78272959,288.0,16.08,,0.0,0,gps,0.9,0.8,1.2,-18.0,,,,38,
2020-08-22T23:28:04.000Z,45.57728689,-122.78256722,287.0,15.008,18.4,2.35,0,gps,1.1,0.9,1.4,-18.0,,,,38,
2020-08-22T23:28:28.000Z,45.57807913,-122.78217296,307.0,16.08,10.8,2.3,0,gps,1.0,0.8,1.3,-18.0,,,,38,
2020-08-22T23:29:04.000Z,45.57800257,-122.78103469,242.0,17.152,66.4,1.86,0,gps,0.9,0.8,1.3,-18.0,,,,38,
2020-08-22T23:29:30.000Z,45.57782395,-122.78039917,237.0,11.792,209.5,1.17,0,gps,0.9,0.8,1.2,-18.0,,,,38,
2020-08-22T23:30:05.000Z,45.57748712,-122.78024687,211.0,18.224,68.1,2.03,0,gps,1.0,0.8,1.2,-18.0,,,,38,
2020-08-22T23:30:30.000Z,45.57750598,-122.77965086,227.0,22.512001,157.1,2.03,0,gps,1.1,0.8,1.4,-18.0,,,,38,
2020-08-22T23:31:05.000Z,45.57708512,-122.77965134,265.0,17.152,314.5,1.23,0,gps,1.1,0.8,1.4,-18.0,,,,38,
2020-08-22T23:31:28.000Z,45.57758526,-122.77916919,235.0,19.296001,25.7,1.91,0,gps,1.0,0.8,1.3,-18.0,,,,38,
2020-08-22T23:32:05.000Z,45.57780654,-122.77826242,248.0,16.08,163.5,0.38,0,gps,0.9,0.8,1.2,-18.0,,,,38,
2020-08-22T23:32:32.000Z,45.57817512,-122.77762577,250.0,16.08,56.1,1.95,0,gps,0.8,0.7,1.1,-18.0,,,,38,
2020-08-22T23:33:05.000Z,45.5783965,-122.77709069,221.0,24.656,99.5,2.53,0,gps,0.8,0.7,1.1,-18.0,,,,37,
2020-08-22T23:33:31.000Z,45.57865108,-122.77640551,241.0,26.800001,61.8,1.04,0,gps,0.8,0.7,1.0,-18.0,,,,37,
2020-08-22T23:34:05.000Z,45.57805535,-122.77576123,256.0,10.72,72.6,2.63,0,gps,0.7,0.7,1.0,-18.0,,,,37,
2020-08-22T23:34:40.000Z,45.57855209,-122.77495873,219.0,16.08,84.2,1.45,0,gps,0.9,0.7,1.2,-18.0,,,,37,
2020-08-22T23:35:03.000Z,45.57853102,-122.77496704,216.0,19.296001,,0.0,0,gps,0.9,0.7,1.1,-18.0,,,,37,
2020-08-22T23:35:26.000Z,45.57841024,-122.77498181,228.0,10.72,,0.0,0,gps,1.1,0.9,1.4,-18.0,,,,37,
