time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-30T02:14:53.000Z,45.58866589,-122.79025548,167.0,22.512001,,0.0,0,gps,,,,,,,,58,
2020-08-30T02:14:59.000Z,45.58871404,-122.79023937,173.0,7.504,259.3,0.89,14,gps,0.9,0.8,1.2,-18.0,,,,58,
2020-08-30T02:15:05.000Z,45.58865478,-122.79030227,175.0,6.432,200.3,3.24,15,gps,0.8,0.8,1.1,-18.0,,,,58,
2020-08-30T02:15:11.000Z,45.58870321,-122.79032966,174.0,9.648001,297.4,0.7,14,gps,0.9,0.8,1.2,-18.0,,,,58,
2020-08-30T02:15:17.000Z,45.58868711,-122.79052146,169.0,8.576,237.0,1.73,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:23.000Z,45.58861182,-122.79051506,176.0,7.504,111.0,1.31,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:29.000Z,45.58866772,-122.7904142,173.0,10.72,37.8,1.51,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:35.000Z,45.58878529,-122.79027455,173.0,11.792,39.1,1.83,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:41.000Z,45.58876398,-122.79007707,172.0,9.648001,95.9,2.12,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:47.000Z,45.5887574,-122.78985158,171.0,11.792,81.8,2.86,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:53.000Z,45.58871959,-122.78964241,173.0,12.864,144.6,1.44,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:15:59.000Z,45.58860168,-122.78941624,173.0,7.504,134.7,0.99,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:05.000Z,45.58852215,-122.78929413,174.0,6.432,127.7,1.18,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:11.000Z,45.58841772,-122.78928542,174.0,6.432,181.1,2.39,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:17.000Z,45.58821484,-122.78933542,173.0,7.504,181.3,3.39,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:23.000Z,45.58805067,-122.78937774,176.0,8.576,190.5,1.57,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:29.000Z,45.58796267,-122.78946683,181.0,6.432,202.3,0.35,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:35.000Z,45.58786252,-122.78953217,184.0,11.792,193.5,2.61,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:41.000Z,45.58770131,-122.78962395,186.0,9.648001,179.6,0.86,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:47.000Z,45.587572,-122.78951737,187.0,11.792,140.8,2.05,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:53.000Z,45.58742599,-122.78940679,184.0,10.72,151.8,0.74,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:16:59.000Z,45.58729268,-122.78934092,188.0,11.792,184.8,1.9,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:05.000Z,45.58716472,-122.78936252,192.0,10.72,194.2,1.7,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:11.000Z,45.58702657,-122.78940688,193.0,10.72,201.9,1.89,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:17.000Z,45.58685809,-122.78946435,192.0,11.792,182.5,2.77,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:23.000Z,45.58673449,-122.78953878,192.0,10.72,199.2,0.71,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:17:29.000Z,45.58666518,-122.78971621,191.0,11.792,250.0,2.45,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:35.000Z,45.58662571,-122.7898767,187.0,12.864,259.2,1.25,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:41.000Z,45.5865611,-122.79004254,183.0,12.864,230.8,2.1,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:47.000Z,45.5864839,-122.7902551,191.0,15.008,229.2,1.66,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:17:53.000Z,45.58634624,-122.7904051,197.0,12.864,176.7,1.79,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:17:59.000Z,45.58619368,-122.79038381,191.0,11.792,164.0,1.8,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:18:05.000Z,45.58608416,-122.79039889,194.0,11.792,205.9,1.08,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:18:11.000Z,45.58600251,-122.79051802,194.0,13.936001,207.6,1.57,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:18:17.000Z,45.58586599,-122.79065386,193.0,13.936001,219.7,2.6,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:18:23.000Z,45.5857448,-122.79071863,198.0,12.864,128.9,0.71,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:29.000Z,45.58561409,-122.79066677,198.0,11.792,149.8,1.6,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:35.000Z,45.58546999,-122.79053964,201.0,11.792,168.7,2.8,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:41.000Z,45.58529519,-122.79048044,205.0,12.864,167.0,2.06,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:47.000Z,45.58510929,-122.79045318,203.0,12.864,180.5,1.98,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:53.000Z,45.58494523,-122.79042006,207.0,15.008,167.4,1.97,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:18:59.000Z,45.58481299,-122.79037691,189.0,12.864,158.9,0.5,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:19:05.000Z,45.58482938,-122.79027202,186.0,12.864,5.0,1.36,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:19:11.000Z,45.58497734,-122.79012491,187.0,12.864,21.7,3.67,16,gps,0.7,0.7,1.0,-18.0,,,,58,
2020-08-30T02:19:17.000Z,45.58513488,-122.78995365,186.0,13.936001,24.0,3.3,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:19:23.000Z,45.58520108,-122.78975066,186.0,12.864,41.4,2.97,15,gps,0.8,0.7,1.1,-18.0,,,,58,
2020-08-30T02:19:29.000Z,45.58532751,-122.78956736,186.0,12.864,36.3,2.58,15,gps,0.8,0.7,1.1,-18.0,,,,57,
2020-08-30T02:19:35.000Z,45.5854661,-122.78937699,186.0,9.648001,49.0,4.45,15,gps,0.8,0.7,1.1,-18.0,,,,57,
2020-08-30T02:19:41.000Z,45.58550028,-122.7891293,188.0,9.648001,90.9,2.03,16,gps,0.7,0.7,1.0,-18.0,,,,57,
