time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-30T17:42:34.490Z,45.5130721,-122.5999641,77.69999694824219,28.038,,,0,network,,,,,,,,37,
2020-08-30T17:42:57.000Z,45.51330928,-122.59926545,89.0,17.152,,0.0,0,gps,,,,,,,,37,
2020-08-30T17:42:54.566Z,45.5131524,-122.5994935,76.0,23.682,,,0,network,,,,,,,,37,
2020-08-30T17:43:12.000Z,45.51318319,-122.59908735,89.0,16.08,167.3,2.32,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:43:20.000Z,45.51294271,-122.5989536,84.0,11.792,113.7,1.13,0,gps,0.9,0.9,1.2,-18.0,,,,37,
2020-08-30T17:43:27.000Z,45.51274024,-122.59888108,77.0,12.864,162.5,3.28,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:43:35.000Z,45.51253527,-122.59873154,82.0,15.008,130.9,2.18,0,gps,1.1,0.9,1.5,-18.0,,,,37,
2020-08-30T17:43:43.000Z,45.51225928,-122.59879922,99.0,5.36,194.2,3.67,0,gps,0.9,0.9,1.2,-18.0,,,,37,
2020-08-30T17:43:51.000Z,45.51220025,-122.59847435,94.0,15.008,173.9,2.51,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:43:59.000Z,45.51175557,-122.59859988,88.0,7.504,175.6,4.78,0,gps,0.9,0.9,1.2,-18.0,,,,37,
2020-08-30T17:44:09.000Z,45.51170559,-122.59875845,85.0,26.800001,272.0,1.48,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:44:17.000Z,45.51153655,-122.59833526,77.0,16.08,156.8,3.27,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:44:25.000Z,45.51122093,-122.59820994,73.0,16.08,156.8,2.27,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:44:34.000Z,45.51103688,-122.59809144,80.0,13.936001,155.1,2.22,0,gps,0.9,0.9,1.2,-18.0,,,,37,
2020-08-30T17:44:43.000Z,45.51076803,-122.59806198,82.0,16.08,160.7,2.62,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:44:51.000Z,45.51049035,-122.59794644,84.0,15.008,167.6,3.68,0,gps,0.9,0.9,1.3,-18.0,,,,37,
2020-08-30T17:44:59.000Z,45.51019974,-122.59787124,83.0,12.864,146.7,2.18,0,gps,0.9,0.8,1.2,-18.0,,,,37,
2020-08-30T17:45:06.409Z,45.5095332,-122.598274,64.5999984741211,38.34,,,0,network,,,,,,,,37,
2020-08-30T17:45:17.000Z,45.5097979,-122.59748372,70.0,18.224,177.5,2.78,0,gps,0.9,0.8,1.2,-18.0,,,,37,
2020-08-30T17:45:06.408Z,45.5095332,-122.598274,64.5999984741211,38.34,,,0,network,,,,,,,,37,
2020-08-30T17:45:32.000Z,45.50944708,-122.59732514,83.0,9.648001,139.1,1.99,0,gps,0.9,0.8,1.2,-18.0,,,,37,
2020-08-30T17:45:40.000Z,45.50930806,-122.59702609,81.0,10.72,154.6,2.2,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:45:47.000Z,45.50915357,-122.59687859,80.0,16.08,132.9,2.51,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:45:55.000Z,45.50895203,-122.59646896,84.0,11.792,117.9,3.03,0,gps,0.9,0.9,1.3,-18.0,,,,37,
2020-08-30T17:46:04.000Z,45.50887202,-122.59628128,83.0,16.08,117.6,2.86,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:46:13.000Z,45.50880897,-122.5960843,82.0,15.008,87.3,2.0,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:46:21.000Z,45.50876908,-122.59599043,84.0,17.152,297.8,1.01,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:46:30.000Z,45.50854127,-122.59559813,58.0,20.368,105.8,2.45,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:46:37.000Z,45.50841662,-122.59535354,74.0,12.864,116.8,2.46,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:46:45.000Z,45.50833118,-122.59509945,87.0,11.792,72.8,1.78,0,gps,0.9,0.8,1.2,-18.0,,,,37,
2020-08-30T17:46:55.000Z,45.50829601,-122.5947799,91.0,12.864,93.5,2.73,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:47:03.000Z,45.50834828,-122.59433691,100.0,16.08,89.0,3.3,0,gps,0.7,0.8,1.0,-18.0,,,,37,
2020-08-30T17:47:12.000Z,45.50840895,-122.59400766,105.0,17.152,67.6,3.03,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:47:20.000Z,45.50859979,-122.59382204,108.0,21.44,45.8,1.42,0,gps,0.7,0.8,1.0,-18.0,,,,37,
2020-08-30T17:47:28.000Z,45.50864175,-122.59376016,106.0,13.936001,122.1,2.63,0,gps,0.8,0.8,1.1,-18.0,,,,37,
2020-08-30T17:47:37.000Z,45.50851044,-122.5935091,105.0,17.152,97.8,3.88,0,gps,0.7,0.8,1.0,-18.0,,,,37,
2020-08-30T17:47:44.000Z,45.50848151,-122.59326748,101.0,9.648001,69.0,2.19,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:47:51.000Z,45.50855491,-122.59308633,100.0,16.08,34.9,1.19,0,gps,0.8,0.8,1.2,-18.0,,,,37,
2020-08-30T17:47:59.000Z,45.50864214,-122.59298565,102.0,11.792,28.5,1.64,0,gps,0.9,0.8,1.2,-18.0,,,,37,
2020-08-30T17:48:06.000Z,45.50872946,-122.59294835,99.0,16.08,340.4,2.03,0,gps,0.7,0.8,1.1,-18.0,,,,37,
2020-08-30T17:48:15.000Z,45.50898221,-122.5930426,104.0,17.152,353.3,3.63,0,gps,1.8,1.0,2.1,-18.0,,,,37,
2020-08-30T17:48:24.000Z,45.50932286,-122.59318517,108.0,22.512001,12.2,2.56,0,gps,0.9,0.9,1.2,-18.0,,,,36,
2020-08-30T17:48:34.000Z,45.50952448,-122.59311306,103.0,24.656,349.6,1.87,0,gps,1.0,0.9,1.3,-18.0,,,,36,
2020-08-30T17:48:43.000Z,45.50965187,-122.59334119,112.0,19.296001,302.2,2.63,0,gps,1.1,0.9,1.4,-18.0,,,,36,
2020-08-30T17:48:51.000Z,45.50967048,-122.59380009,91.0,19.296001,253.3,2.33,0,gps,0.9,0.9,1.2,-18.0,,,,36,
2020-08-30T17:48:59.000Z,45.50949551,-122.59400956,96.0,15.008,200.1,3.11,0,gps,0.9,0.9,1.3,-18.0,,,,36,
2020-08-30T17:49:07.000Z,45.50926309,-122.59405863,102.0,16.08,192.1,2.96,0,gps,1.1,0.9,1.4,-18.0,,,,36,
2020-08-30T17:49:15.000Z,45.50899151,-122.59402621,112.0,6.432,173.2,3.48,0,gps,1.1,0.9,1.4,-18.0,,,,36,
2020-08-30T17:49:23.000Z,45.50877879,-122.59415248,111.0,8.576,177.9,1.91,0,gps,1.1,0.9,1.4,-18.0,,,,36,
2020-08-30T17:49:31.000Z,45.50875145,-122.59424088,113.0,9.648001,286.2,1.97,0,gps,0.7,0.8,1.1,-18.0,,,,36,
2020-08-30T17:49:41.000Z,45.50904267,-122.59415159,117.0,19.296001,47.6,2.72,0,gps,0.8,0.8,1.2,-18.0,,,,36,
2020-08-30T17:49:49.000Z,45.5092023,-122.59400841,114.0,12.864,6.3,2.61,0,gps,0.9,0.8,1.2,-18.0,,,,36,
2020-08-30T17:49:59.000Z,45.50960813,-122.59411188,121.0,23.584,355.4,5.0,0,gps,0.8,0.8,1.1,-18.0,,,,36,
2020-08-30T17:50:09.000Z,45.50965274,-122.59393152,117.0,18.224,352.9,2.49,0,gps,0.8,0.8,1.2,-18.0,,,,36,
2020-08-30T17:50:17.000Z,45.5098622,-122.59412918,110.0,18.224,337.2,3.28,0,gps,0.9,0.8,1.2,-18.0,,,,36,
