time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-08-23T17:25:15.000Z,45.58228285,-122.76812523,33.0,30.016,,0.0,0,gps,,,,,,,,76,
2020-08-23T17:25:35.000Z,45.58251703,-122.76828944,47.0,25.728,,0.0,0,gps,0.9,0.8,1.2,-18.0,,,,76,
2020-08-23T17:26:04.000Z,45.58233648,-122.76852972,23.0,31.088001,272.5,1.47,0,gps,2.0,1.0,2.2,-18.0,,,,76,
2020-08-23T17:26:24.000Z,45.58280089,-122.76950579,51.0,17.152,276.3,2.81,0,gps,1.1,0.8,1.4,-18.0,,,,76,
2020-08-23T17:26:49.000Z,45.58330005,-122.76992546,148.0,19.296001,309.1,0.93,0,gps,0.9,0.8,1.2,-18.0,,,,76,
2020-08-23T17:27:09.000Z,45.58299902,-122.76994843,63.0,12.864,185.7,0.92,0,gps,1.0,0.9,1.3,-18.0,,,,76,
2020-08-23T17:27:29.000Z,45.58253699,-122.76956205,78.0,12.864,139.8,1.26,0,gps,1.2,0.9,1.5,-18.0,,,,75,
2020-08-23T17:27:49.000Z,45.58230438,-122.76970531,96.0,17.152,183.4,0.87,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:28:19.000Z,45.58184265,-122.76988344,69.0,32.16,81.6,1.58,0,gps,1.0,0.9,1.3,-18.0,,,,75,
2020-08-23T17:28:38.000Z,45.58222309,-122.76964624,91.0,24.656,184.7,0.61,0,gps,1.1,0.9,1.4,-18.0,,,,75,
2020-08-23T17:29:05.000Z,45.58142983,-122.76920362,124.0,18.224,111.2,1.73,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:29:24.000Z,45.58127489,-122.76928142,114.0,19.296001,246.5,1.49,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:29:43.000Z,45.58107999,-122.76971145,133.0,15.008,212.9,1.69,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:30:04.000Z,45.58110053,-122.7698109,157.0,16.08,282.5,1.45,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:30:28.000Z,45.58099089,-122.77029813,146.0,18.224,261.6,1.62,0,gps,0.8,0.8,1.2,-18.0,,,,75,
2020-08-23T17:30:47.000Z,45.58119842,-122.77083951,140.0,15.008,286.3,2.28,0,gps,0.8,0.8,1.2,-18.0,,,,75,
2020-08-23T17:31:18.000Z,45.58057942,-122.77105988,141.0,16.08,174.1,1.34,0,gps,0.8,0.8,1.2,-18.0,,,,75,
2020-08-23T17:31:39.000Z,45.58008174,-122.77100465,146.0,23.584,162.0,1.76,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:32:05.000Z,45.58007748,-122.77087462,179.0,11.792,171.3,1.99,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:32:24.000Z,45.57968344,-122.77050701,204.0,15.008,70.8,0.6,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:32:44.000Z,45.57983239,-122.77095092,128.0,19.296001,331.6,1.45,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:33:04.000Z,45.57985208,-122.77098997,167.0,17.152,57.3,0.28,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:33:27.000Z,45.57965251,-122.77103661,136.0,16.08,274.4,0.18,0,gps,1.0,0.9,1.3,-18.0,,,,75,
2020-08-23T17:33:48.000Z,45.57977771,-122.7705961,161.0,23.584,57.1,0.64,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:34:06.000Z,45.57937727,-122.77052812,150.0,17.152,,0.0,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:34:25.000Z,45.57933024,-122.77053869,144.0,20.368,,0.0,0,gps,0.8,0.8,1.2,-18.0,,,,75,
2020-08-23T17:34:46.000Z,45.57912719,-122.77080385,180.0,17.152,241.3,1.64,0,gps,1.1,0.9,1.4,-18.0,,,,75,
2020-08-23T17:35:05.000Z,45.57889083,-122.77104713,225.0,12.864,213.7,1.18,0,gps,0.8,0.9,1.2,-18.0,,,,75,
2020-08-23T17:35:24.000Z,45.57882355,-122.77139074,209.0,9.648001,287.6,1.04,0,gps,0.9,0.9,1.3,-18.0,,,,75,
2020-08-23T17:35:43.000Z,45.57914207,-122.77125093,212.0,12.864,95.2,0.78,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:36:04.000Z,45.57949961,-122.77136804,176.0,9.648001,343.4,1.92,0,gps,0.9,0.9,1.2,-18.0,,,,75,
2020-08-23T17:36:27.000Z,45.57944822,-122.7717803,165.0,10.72,214.5,2.35,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:36:46.000Z,45.57950176,-122.77184691,209.0,11.792,321.1,1.13,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:37:05.000Z,45.57931166,-122.77201919,211.0,12.864,211.9,1.09,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:37:24.000Z,45.57915148,-122.77228275,202.0,9.648001,232.2,1.74,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:37:43.000Z,45.57935911,-122.77224967,224.0,17.152,42.9,1.94,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:38:06.000Z,45.57926569,-122.77288242,232.0,17.152,245.4,2.64,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:38:25.000Z,45.57910027,-122.77330217,226.0,17.152,152.1,0.78,0,gps,0.8,0.8,1.2,-18.0,,,,75,
2020-08-23T17:38:48.000Z,45.57902727,-122.77324449,208.0,8.576,270.8,2.03,0,gps,0.9,0.8,1.2,-18.0,,,,75,
2020-08-23T17:39:08.000Z,45.5789233,-122.7733827,214.0,10.72,233.0,1.49,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:39:28.000Z,45.57896707,-122.77369255,244.0,19.296001,279.3,1.14,0,gps,0.7,0.8,1.1,-18.0,,,,75,
2020-08-23T17:39:46.000Z,45.57875018,-122.77423239,245.0,16.08,208.0,0.79,0,gps,0.8,0.8,1.1,-18.0,,,,75,
2020-08-23T17:40:05.000Z,45.57854811,-122.77464232,248.0,8.576,256.3,1.56,0,gps,1.1,0.9,1.4,-18.0,,,,75,
2020-08-23T17:40:24.000Z,45.57854031,-122.77462265,245.0,12.864,338.5,2.46,0,gps,0.8,0.8,1.1,-18.0,,,,75,
